IMO number	1st name	/ nationality	owner	operator	completion year	shipyard	yard / hull number	engine design	engine type	power output (KW)	maximum speed (Kn)	overall length (m)	overall beam (m)	maximum draught (m)	maximum TEU capacity	container capacity at 14t (TEU)	reefer containers (TEU)	deadweight (ton)	gross tonnage (ton)	handling gear	exname 1	exname 2	exname 3	exname 4	exname 5	exname 6	exname 7	exname 8	exname 9
9420801	DELTAGRACHT	Netherlands	Spliethoffs BV	Spliethoff	2009 / 05	Jinling Shipyard, China	JLZ 404				17,0	156,90	22,80	10,30	1069			18.500	17.650	3x 120									
9631888	DENEB	Singapore	Horst Zeppenfeld GmbH		2013 / 05	Samjin Shipbuilding, China	4002	B&W;				251,00	37,00		4700			61.000		None									
9061306	DENEB	Antigua	Moje Heinz KG		1994	J.J. Sietas KG Schiffswerft GmbH & Co., Germany	1091		MWM	3.825	15,5	100,00	18,20	6,56	509	395	52	5.535	3.992	none									
9344241	DENEB J	Antigua	Jngerhans & Co		2006 / 06	Detlef Hegemann Rolandwerft GmbH & Co. KG, Germany	230	MAK	8M43	7.200	18,4	139,60	22,20	7,40	974	584	170	10.986	8.246	None	RACHEL BORCHARD-07	GRACECHURCH CROWN-09							
9278117	P&O; NEDLLOYD CARACAS	Cyprus	Danaos Shipping		2004 / 04	Samsung Shipbuilding & Heavy industries Co. Ltd, South Korea	1456	B&W;	8K90MCC	36.529	24,5	259,80	32,20	12,60	4253	2805	400	50.839	40.030	None	P&O; NEDLLOYD CARACAS-05	MAERSK DERBY-09	BUNGA RAYA TIGA-11						
8901391	BELSTAR	Cyprus	Eurobulk SM		1990	Halla Engineering & Construction Corp., South Korea	167	B&W;	6L70MC	12.490	18,0	187,60	32,20	9,80	1932	1590	90	32.668	22.172	None	BEAUTY RIVER-07								
9122241	JACOB BECKER	Antigua	Gerems		1995	J.J. Sietas KG Schiffswerft GmbH & Co., Germany	1109	MWM	TBD645L9	3.825	15,5	100,60	18,20	6,56	508	372	52	5.210	3.999	none									
9086801	HELENE SIF	Antigua	Eimskip	Samskip	1995	Orskov Christensens Staalskibsvaerft AS, Denmark	181	B&W;	7S60MC	14800	20,0	165,60	27,20	9,00	1465		400	17.034	14.664	1x40,1x30	TRSL TENAVIOUS-97	MAERSK DURBAN-97	MAERSK SANTIAGO-99	HELENE SIF-00					
9278105	P&O; NEDLLOYD CARIBBEAN	Cyprus	Danaos Shipping	Maersk	2004 / 03	Samsung Shipbuilding & Heavy industries Co. Ltd, South Korea	1455	B&W;	8K90MCC	36.529	24,5	259,80	32,20	12,60	4253	2805	400	50.839	40.030	None	P&O; NEDLLOYD CARIBBEAN-05	MAERSK DEVA-06	VANCOUVER EXPRESS-07	MAERSK DEVA-09	BUNGA RAYA TUJUH				
9406843	DEVON STRAIT	Antigua	Rehder Carsten		2008 / 03	Jinling Shipyard, China	04-0420	B&W;	7L458/64	9.730	19,6	147,80	23,50	8,50	1118	713	220	13.760	9.912	2 x 45	RIO MANZANARES-09								
9420813	DIAMANTGRACHT	Netherlands	Spliethoffs BV	Spliethoff	2009 / 09	Jinling Shipyard, China	JLZ 405				17,0	156,90	22,80	10,30	1069			18.500	17.650	3x 120									
9146314	ARKONA TRADER	Antigua	Eurobulk		1998 / 10	Stocznia Gdansk S.A., Poland	8145/02	SUL	6RTA72	17930	21,5	188,00	30,00	11,50	2078		250	30.600	23.540	3 x 45	CIELO D'ITALIA-02	ARKONA TRADER-03	CMA CGM TUCANO-09						
9370082	DIANA	Germany	Doehle Peter Schiffahrts		2007 / 06	Jiangsu Yangzijiang Shipbuilding Co. Ltd, China	692C	B&W;	6K80MCC	28.879	23,0	196,90	27,80	11,00	1850	1300	300	24.277	21.932	2 x 45									
9344239	DIANA J	Antigua	Jngerhans & Co		2006 / 04	Detlef Hegemann Rolandwerft GmbH & Co. KG, Germany	229	MAK	8M43	7.200	18,4	139,60	22,20	7,40	974	584	170	10.986	8.246	None	KATHERINE BORCHARD-07	GRACECHURCH STAR-09	BG FELIXSTOWE-10						
9385532	DIANE A	Turkey	Arkas Group		2009 / 02	Peene-Werft GmbH, Germany	550	B&W;	7S50	11.060	19,3	184,00	24,50	9,00	1604	1145	178	22.033	17.665	None									
9420772	DIJKSGRACHT	Netherlands	Spliethoff BV	Spliethoff	2008 / 12	Samho Heavy Industries Co. Ltd., South Korea						156,90	22,80	10,30	1069					3 x 120									
7900807	EVER LYRIC	Panama	Technomar Shipping	Evergreen	1979 / 00	Onomichi Dockyard Co. Ltd. , Japan	289	SUL	7RND90M	16734	21,0	202,60	30,10	11,20	1894	1648	164	28.900	24.804	None									
9210074	SANTA CATALINA	Greece	Metrostar Management	Niledutch	2001 / 02	Samsung Shipbuilding & Heavy industries Co. Ltd, South Korea	1316	SUL	7RTA 84C	28.385	24,0	242,00	32,20	11,50	3430	2250	800	40.118	37.113	4 x 45	P&O; NEDLLOYD DEJIMA-05								
9121247	POMMERN	Liberia	technomar Shipping	PIL	1996	Kvaerner Warnow-Werft GmbH, Germany	001	B&W;	8K20MCC	28.350	22,3	209,60	32,20	12,50	2636	2090	500	38.650	31.131	None	SEA EXCELLENCE-97	POMMERN-97	P&O; NEDLLOYD UNITY-02	KOTA PUSAKA-09	POMMERN10	KOTA PURKASA-12			
8208256	EVER GUIDE	Panama	Technomar Shipping	Evergreen	1983 / 00	Ishikajima-Harima Heavy Industries Co. Ltd, Japan	2817	SUL	7RLB90	15.888	20,5	230,80	32,20	11,60	2728	2278	156	43.198	37.023	None	COSCO NEW YORK-03	EVER GUIDE-07							
9354442	JAN - FABIAN	Gibraltar	Myklebusthaug Rederi		2007 / 12	J.J. Sietas KG Schiffswerft GmbH & Co., Germany	1243	MAK	9M43	8.400	19,3	137,50	21,30	7,50	864	516	150	8.900	7.600										
9318929	MARIA SIBUM	Antigua	Sibum Bernd Reederei		2004 / 10	Yangfan Ship Group, China	2015	MAK	7M43	6.300	18,0	132,60	19,20	7,20	672	408	116	9.500	8.500	2 x 50	SUSAN BORCHARD-07	MARIA SIBUM-12							
8513467	DOLE CALIFORNIA	Liberia	Dole Fresh Fruit	Dole	1988	Fincantieri-Cantieri Navali Italiani S.p.A., Italy	5829	SUL	7RTA68	15.168	20,0	178,80	27,10	8,70	890		890	11.613	16.485	2 x 30									
9185281	DOLE CHILE	Bahamas	Dole Fresh Fruit	Dole	1999 / 11	HDW Howaldswerke Deutsche Werft AG, Germany	342	SUL	8RTA72U	23.300	25,0	204,90	32,20	10,20	2046		2.046	30.145	31.779	2 x 40									
9185293	DOLE COLOMBIA	Bahamas	Dole Fresh Fruit	Dole	2000 / 01	HDW Howaldswerke Deutsche Werft AG, Germany	343	SUL	8RTA72U	23.300	21,0	204,90	32,20	10,20	2046		2.046	30.145	31.779	2 x 40									
8900335	DOLE COSTARICA	Bahamas	Dole Fresh Fruit	Dole	1991	Fincantieri-Cantieri Navali Italiani S.p.A., Italy	5903	SUL	7RTA68	15.168	20,0	178,80	27,10	8,70	890		890	11.800	16.485	2 x 30									
8513479	DOLE ECUADOR	Liberia	Dole Fresh Fruit	Dole	1989	Fincantieri-Cantieri Navali Italiani S.p.A., Italy	5830	SUL	7RTA68	15.168	20,0	178,80	27,10	8,70	890		890	11.613	16.485	2 x 30									
8900323	DOLE HONDURAS	Bahamas	Dole Fresh Fruit	Dole	1991	Fincantieri-Cantieri Navali Italiani S.p.A., Italy	5902	SUL	7RTA68	15.168	20,0	178,80	27,10	8,70	910		910	16.337	16.485	None									
9420825	DOLFIJNGRACHT	Netherlands	Spliethoffs BV	Spliethoff	2009 / 10	Jinling Shipyard, China	JLZ 406				17,0	156,90	22,80	10,30	1069			18.500	17.650	3x 120									
9162356	DOLLART TRADER	Antigua	Buss Hermann	MOL	1997 / 10	Meeres-Technik-Wismar, Germany	303	SUL	6RTA62	15146	21,0	168,40	26,70	10,80	1618	1124	200	22.024	15.992	3 x 45	REPUBBLICA DE LA BOCA-99	LIBRA GENOVA-01	DOLLAR TRADER-04	CAP SERRAT-06	DOLLART TRADER-06	MOL ACHIEVEMENT-09			
8501555	DOLORES	Liberia	Maritime Gesellschafft	CNC-Line	1987 / 07	Thyssen Nordseewerke GmbH, Germany	488	SUL	6RTA76	16.260	19,0	181,40	28,60	11,60	1742		200	28.348	21.049	1x40,1x36	SCANDUTCH GALLIA-90	DOLORES-91	OOCL BREEZE-93	SEA BREEZE-94	DOLORES-94	NELSON BAY-98	DOLORES-98	CITY OF HAIFA-99	DOLORES-99
9318125	CMA CGM DOLPHIN	Bahamas	Technomar Shipping	CMA-CGM	2007 / 02	Hyundai Samho Heavy Industries Co. Ltd., South Korea	S280	B&W;	10K98MC	51.485	25,5	294,10	32,20	12,80	5040	3320	550	65.890	53.453	None									
9265586	DOLPHIN STRAIT	Germany	Rehder Carsten	MCC	2004 / 08	Jinling Shipyard, China	01-0102	B&W;	7L458/64	9.730	20,0	147,80	23,50	8,50	1118	713	220	13.760	9.912	2 x 45	TS SINGAPORE-07								
9232204	ELISABETH BOLTEN	Portugal	Elisabeth Shipping & Trading Corp		2000 / 12	Jiangsu Yangzijiang Shipbuilding, China	YZJ99C589	B&W;	5S42MC	5.400	14,0	127,30	21,20	8,60	564			13.022	19.132	3 x40									
9318101	E.R. TRIESTE	Liberia	E R Schiffahrt	Maersk	2007 / 01	Hyundai Samho Heavy Industries Co. Ltd., South Korea	S277	B&W;	12K98MC	69.620	25,3	335,00	42,80	14,50	8204	6180	700	101.477	91.649	None	CMA CGM DON PASCUALE	MSC XIAN-09	CMA CGM DON PASCUALE-12						
9377559	DONAU TRADER	Germany	Buss Hermann		2008 / 06	HDW Howaldswerke Deutsche Werft AG, Germany	394	B&W;	7L 70MC-C	21.770	21,8	215,50	29,80	10,10	2702	2100	428	38.070	28.050	None	TS XINGANG								
9420837	DONAUGRACHT	Netherlands	Spliethoffs BV	Spliethoff	2009 / 11	Jinling Shipyard, China	JLZ 407				17,0	156,90	22,80	10,30	1069			18.500	17.650	3x 120									
9159309	STADT HAMBURG	Germany	Thien & Heyenga		1998 / 07	Mtzelfeldwerft Gmbh, Germany	221	B&W;	7L58/64	9.730	20,0	146,40	22,70	7,30	1102		200	10.500	9.842	None	CALA PILAR-01	STADT HAMBURG-02	PELOR-02	STADT HAMBURG-03	FAS GULF-03	EWL CURACAO-08			
9162423	UNIVERSAL BRIDGE	China	Fujian Orient Shipping	MOL	1998 / 01	Imabari Shipbuilding Co. Ltd., Japan	0538	B&W;	7S50MC	9.989	18,1	161,90	25,60	9,10	1032		100	18.185	13.199	None	UNIVERSAL BRIDGE	MOL BRIDGE-10							
9122538	CCNI AYSEN	Marshall Islands	Doehle Peter Schiffahrts	CCNI	1996 / 12	Flensburger Schiffsbau-Gesellschaft MbH & Co. KG, Germany	0692	B&W;	6S70MC	16.860	19,8	174,40	30,60	12,00	2604	2034	180	32.482	24.046	3 x 40	MAERSK MONTEVIDEO	SUPERBA BRIDGE-02	GHANA STAR 1-04	CCNI BUSAN-07					
8806101	DONG HE	China	COSCO Container Lines	COSCO	1990 / 01	HDW Howaldswerke Deutsche Werft AG, Germany	239	B&W;	6L80MC	16.670	19,0	236,00	32,20	12,00	2761	2445	165	47.625	37.143	None									
9159268	UNI WEALTH	Panama	Shandong Yantai Int. Marine Ship.	SYMS	1997	Murakami Hide Shipbuilding Co. Ltd., Japan	387	B&W;	8L35MC	5.176	17,5	115,00	18,20	8,00	500		100	8.200	6.251	2 x 36	RYOGA-08								
8508412	WESTERBROOK	Hong Kong	Dongdu Shipping H K Co	Sea Consortium	1985 / 00	HDW Nobiskrug GmbH, Germany	726	MAK	8N601AK	7.503	18,0	151,00	23,10	8,40	1033	710	80	14.180	10.524	2 x 40	WOERMANN UBANGI-89	NEDLLOYD ZAANDAM-89	MAGDALENA-93	PUENTE ATLANTICO-95	ZIN PARAGUAY-96	SAUDI DAMMAN-99	SAEVOYAGER-00	THAILAND STAR I-04	
8415627	NOBLE EAGLE	Hong Kong	Golden Fortune ship Management		1985 / 00	Bremer Vulkan AG - Schiffbau, Germany	1048	B&W;	7L50MC	6.002	18,0	146,70	23,10	8,00	1022		50	13.346	10.282	2 x 40	ROCIO-87	NOBLE EAGLE-89	OCEAN STAR-89	CONTSHIP HOLLAND-93	HOLLAND-93	INDEPENDENT VOYAGER-96	LALAZAR-05		
9014121	HARMONY CONTAINER	Cyprus	Fair Ship Management Co Ltd		1992	Shin Kurushima Dockyard Co Ltd, Japan	2732	B&W;	7L42MC	5.970	16,5	139,10	21,80	8,10	700		No Info	12.827	8.628	None	JIN AN-99								
9060546	DORIAN	Liberia	Komrowski E		1994 / 08	Stocznia Szczecinska S.A., Poland	186/4/06	SUL	6RTA62U	13.320	19,0	179,30	25,30	9,90	1524		120	22.304	16.191	3 x 45	TSL BOLD-96	MAERSK CHARLSTON-97	SEA BOLD-97	DORIAN-98	SEA BOLD-98	DORIAN-99	P&O; NEDLLOYD KARAWA-00	KARAWA-01	DORIAN-01
9114191	DORIKOS	Cyprus	Dioryx Maritime		1996	Hyundai Heavy Industries Ltd. Co, South Korea	0935	B&W;	7S60MC	14.314	19,0	171,70	27,60	10,50	1610		150	24.461	19.147	3 x 40	NEDLLOYD SEOUL-98	P&O; NEDLLOYD BAHRAIN-99	DORIKOS-99	MSC AFRICA-01	COLUMBIA-04	DORIKOS-04	CMA CGM QUETZAL-12		
9404065	DORIS SCHEPERS	Antigua	HS Schiffahrt		2007 / 06	Santierul NavalDamen Galati S.A. Romania	568301	MAK	9M43	8.400	18,5	140,50	21,80	9,50	812	517	210	9.332	7.987										
9126211	NORRLAND	Germany	Ohle Jrgen KG		1996	J.J. Sietas KG Schiffswerft GmbH & Co., Germany	1094	MWM	TBD645L9	3.825	15,5	100,60	18,20	6,56	508	372	52	5.210	3.999	none	NORRLAND-08								
9236597	CAPE SERRAT	Marshall Islands	Rehder Carsten	Hapag-Lloyd	2002 / 03	Stocznia Gdansk S.A., Poland	8125/12	B&W;	7S50MC	10.010	19,0	158,80	24,20	9,70	1129	818	153	18.400	14.241	2 x 43	MOL SAHARA-02	CAPE SERRAT							
8901937	MAI RICKMERS	Cyprus	Rickmers & Cie	Pan Ocean	1992 / 10	Stocznia Szczecinska S.A., Poland	183/004	B&W;	6L50MC	6.930	17,5	149,50	22,30	8,40	1048	649	90	12.953	6.904	2 x 40	BEAVER EXPRESS-93	MAI RICKMERS-95	ST. IRENE-07	BARRIER-08					
8126824	ESTHER SCHULTE	St. Vincent	Rayah Maritime Services Group		1983 / 00	Donghea shipbuilding, South Korea	8134	MIT	6UEC45/115 H	8.033	14,0	135,60	21,00	7,70	594			11.214	8.431		MOANA PACIFIC	ESTHER SCHULTE	LLOYD RIO	ANDROMACHE					
8902553	DRESDEN EXPRESS	Germany	Hapag-Lloyd	Hapag-Lloyd	1991 / 09	Samsung Shipbuilding & Heavy industries Co. Ltd, South Korea	1077	B&W;	9K90MC	31.000	23,0	294,00	32,30	13,50	4639	3962	452	67.618	53.409	None									
9379026	DS ABILITY	Marshall Islands	DS-Schiffahrt	SITC	2007 / 05	Qingshan Shipyard, China	20040319	MAN	7L58/64	9.730	20,0	148,00	23,30	8,50	1118	720	220	13.760	9.966		SITC ABILITY								
9395599	DS ACCURACY	Marshall Islands	DS-Schiffahrt	SITC	2007 / 07	Qingshan Shipyard, China	20040322	MAN	7L58/64	9.730	20,0	148,00	23,30	8,50	1118	720	220	13.760	9.966	2 x 45	SITC ACCURACY								
9395604	DS ACTIVITY	Marshall Islands	DS-Schiffahrt		2007 / 10	Qingshan Shipyard, China	20040323	MAN	7L58/64	9.730	20,0	148,00	23,30	8,50	1118	720	220	13.760	9.966										
9395616	DS AGILITY	Marshall Islands	DS-Schiffahrt	HMM	2007 / 12	Qingshan Shipyard, China	20040324	MAN	7L58/64	9.730	20,0	148,00	23,30	8,50	1118	720	220	13.760	9.966										
9341976	RBD CONSTANTIA	United Kingdom	S&D; Shipmanagement GmbH		2007 / 09	Fujian Mawei Shipyard, China	437-24	MAK	7M43	7.200	17,0	129,20	20,80	7,40	698	436	120	8.400	7.430										
9341988	JRS CANOPUS	United Kingdom	S&D; Shipmanagement GmbH		2007 / 12	Fujian Mawei Shipyard, China	437-25	MAK	7M43	7.200	17,0	129,20	20,80	7,40	698	436	120	8.400	7.430										
9215854	HYUNDAI DOMINION	Liberia	DS-Schiffahrt	CSAV	2001 / 05	Hyundai Heavy Industries Ltd. Co, South Korea	1290	B&W;	12K98MC-C	68.640	26,4	303,80	40,00	13,50	6500	5071	700	80.551	74.373	None	HYUNDAI DOMINION-11								
9215828	HYUNDAI KINGDOM	Liberia	DS-Schiffahrt	CSAV	2001 / 02	Hyundai Heavy Industries Ltd. Co, South Korea	1287	B&W;	12K98MC-C	68.640	26,4	303,80	40,00	13,50	6500	5071	700	80.551	74.373	None									
9215842	HYUNDAI NATIONAL	Liberia	DS-Schiffahrt	CSAV	2001 / 03	Hyundai Heavy Industries Ltd. Co, South Korea	1289	B&W;	12K98MC-C	68.640	26,4	303,80	40,00	13,50	6500	5071	700	80.551	74.373	None	HYUNDAI NATIONAL-11								
9215866	HYUNDAI PATRIOT	Liberia	DS-Schiffahrt	Hyundai	2001 / 06	Hyundai Heavy Industries Ltd. Co, South Korea	1291	B&W;	12K98MC-C	68.640	26,4	303,80	40,00	13,50	6500	5071	700	80.551	74.373	None									
9215830	HYUNDAI REPUBLIC	Liberia	DS-Schiffahrt	CSAV	2001 / 02	Hyundai Heavy Industries Ltd. Co, South Korea	1288	B&W;	12K98MC-C	68.640	26,4	303,80	40,00	13,50	6500	5071	700	80.551	74.373	None	HYUNDAI REPUBLIC								
8117225	DUBAI	UAE	United Arab Shipping Co	UASC	1982 / 00	Hyundai Heavy Industries Ltd. Co, South Korea	0208	B&W;	6L80GFCA	13.534	19,7	211,50	32,30	11,30	2211		150	35.615	32.532	None									
9301782	TMM GUERREO	Hong Kong	Seaspan Container Line	Hapag-Lloyd	2006 / 01	Samsung Shipbuilding & Heavy industries Co. Ltd, South Korea	1540	B&W;	8K90MCC	36.529	24,5	259,80	32,20	12,60	4250	2805	400	50.488	39.941	None	CP CORBET-06								
8806797	ZIM KOREA	Israel	Costamare Shipping		1991 / 02	HDW Howaldswerke Deutsche Werft AG, Germany	257	SUL	8RTA76	29.512	21,0	236,00	32,20	10,50	3029	2500	121	48.756	37.209	None									
9232577	CONTSHIP AUSTRALIS	Germany	Hapag-Lloyd	Hapag-Lloyd	2002 / 12	Daewoo Shipbuilding & Marine Engineering Ltd, South Korea	4083	SUL	9RTA96CB	51.480	25,2	281,00	32,20	12,50	4115	2718	1.300	54.157	45.803	None	CONTSHIP BOREALIS-05	MAERSK DALE-07							
9141132	FIDUCIA	Liberia	Maritime Gesellschafft	TS LINE	1997 / 06	Thyssen Nordseewerke GmbH, Germany	517	MIT	8UEC60LS	16.000	21,0	168,00	27,40	9,60	1651	1136	150	21.060	16.212	3 x 40	COLUMBUS FLORIDA-06	TS KOBE-08							
9143556	DESSELDORF EXPRESS	Germany	Hapag-Lloyd	Hapag-Lloyd	1998 / 03	Samsung Shipbuilding & Heavy industries Co. Ltd, South Korea	1209	B&W;	9K90MC	41.130	24,5	294,00	32,30	13,50	4616	3962	452	66.525	55.279	None									
9035993	HYUNDAI DUKE	Cyprus	Danaos Shipping	Hyundai	1992 / 10	Hyundai Heavy Industries Ltd. Co, South Korea	0769	B&W;	11K90MC	50.052	28,4	275,00	37,20	13,50	4651	3517	350	62.130	51.863	None	APL DUKE-12								
9256365	HANSA SONDERBURG	France	Marfret Compagnie Maritime		2003	Guangzhou Wenchong Shipyard, China	292	B&W;	7S60MC	14.325	20,5	175,00	24,80	9,50	1740	1330	296	20.700	14.500		DELMAS FORBIN-06	MARFRET DURANDE-12							
9420849	DYNAMOGRACHT	Netherlands	Spliethoffs BV	Spliethoff	2009 / 12	Jinling Shipyard, China	JLZ 408				17,0	156,90	22,80	10,30	1069			18.500	17.650	3x 120									
9080522	ELBE TRADER	Antigua	Maestra  Shipping		1994 / 11	Meeres-Technik-Wismar, Germany	293	SUL	7RTA62	13320	20,0	167,10	26,70	10,80	1618	1124	200	22.250	15.992	3 x 45	CSAV RAULI-98	ZIM ARGENTINA II-04	ELBE TRADER-04	DAL REUNION-07	ELBE TRADER-07	TS MANILA-08	ELBE TRADER-10	TIGER TRADER-11	
9282950	E.R DALLAS	Liberia	E R Schiffahrt	Maersk	2004 / 06	Hyundai Samho Heavy Industries Co. Ltd., South Korea	S199	SUL	8RTA96C	51.485	25,5	294,10	32,20	12,80	5026	3320	550	67.170	54.592	None	MAERSK DALLAS-12								
9282962	E.R DENVER	Liberia	E R Schiffahrt	Maersk	2004 / 07	Hyundai Samho Heavy Industries Co. Ltd., South Korea	S200	SUL	8RTA96C	51.485	25,5	294,10	32,20	12,80	5026	3320	550	67.170	54.592	None	MAERSK DENVER-13								
9214214	E.R. BERLIN	Liberia	E R Schiffahrt	CSAV	2000 / 12	Samsung Shipbuilding & Heavy industries Co. Ltd, South Korea	1266	B&W;	12K90MC	54.900	26,2	277,40	40,00	14,00	5762	4185	656	67.660	66.289	None	OOCL GERMANY-02	OOCL GERMANY-11							
9239886	E.R. BREMERHAVEN	Liberia	E R Schiffahrt	Safmarine	2002 / 06	SSW Fähr- und Spezialschiffbau GmbH, Germany	2002	SUL	7RTA72	21.560	22,2	211,90	29,80	11,40	2496	1810	700	33.800	26.400										
9301433	E.R. CAEN	Liberia	E R Schiffahrt	CMA-CGM	2004 / 11	Hyundai Heavy Industries Ltd. Co, South Korea	1624	SUL	7RTA 72U	21.560	22,0	210,00	30,20	11,50	2556	1612	600	34.717	25630	4x40	CMA CGM JAGUAR-09								
9301445	E.R. CALAIS	Liberia	E R Schiffahrt	MCC	2005 / 02	Hyundai Heavy Industries Ltd. Co, South Korea	1625	SUL	7RTA 72U	21.560	22,0	210,00	30,20	11,50	2556	1612	600	34.717	25630	4x40	CMA CGM L'ASTROLABE-10								
9231236	E.R. CANADA	Singapore	E R Schiffahrt	APL	2001 / 12	Samsung Shipbuilding & Heavy industries Co. Ltd, South Korea	1372	B&W;	12K90MC	54.853	26,2	277,30	40,00	14,00	5762	4180	656	67.644	66.300	None									
9301457	E.R. CANNES	Liberia	E R Schiffahrt	CMA-CGM	2005 / 09	Hyundai Heavy Industries Ltd. Co, South Korea	1626	SUL	7RTA 72U	21.560	22,0	210,00	30,20	11,50	2556	1612	600	34.717	25630	4x40	CMA CGM LA BOUSSOLE-10								
9194878	E.R. COPENHAGEN	Liberia	Rickmers & Cie		1999 / 12	Volkswerft Stralsund GmbH, Germany	425	B&W;	6L70MC	17200	21,0	207,40	29,80	11,40	2474	1890	320	33.709	25.630	3 x 45	MAERSK VALENCIA-09								
9239903	E.R. CUXHAVEN	Liberia	E R Schiffahrt		2002 / 09	SSW Fhr- und Spezialschiffbau GmbH, Germany	2004	SUL	7RTA72	21.560	22,2	211,90	29,80	11,40	2496	1810	344	33.800	26.400		MAERSK NEWARK-09								
9231250	E.R. DENMARK	Singapore	E R Schiffahrt	APL	2002 / 07	Samsung Shipbuilding & Heavy industries Co. Ltd, South Korea	1374	B&W;	12K90MC	54.900	26,2	277,40	40,00	14,00	5762	4180	656	67.644	66.300	None	APL DENMARK-12								
9246346	E.R. ELSFLETH	Liberia	E R Schiffahrt	K-Line	2003  / 12	SSW Fhr- und Spezialschiffbau GmbH, Germany	2010	SUL	7RTA72	21.560	22,2	211,90	29,80	11,40	2496	1810	344	33.800	26.400		MAERSK NEWCASTLE-07	ANDES BRIDGE-09							
9160425	E.R. HAMBURG	Liberia	E R Schiffahrt		1998 / 09	China Shipbuilding Corp. Kaohsiung Shipyard, Taiwan	668	B&W;	7S70MD	19.667	20,5	195,50	30,20	11,00	2226	1744	300	30.730	25.900	3 x 45	ACONCAGUA-99	CSAV SHANGHAI-01	LAS AMERICAS BRIDGE-03	CSAV SHANGHAI-08	E.R. HAMBURG-09	SAFMARINE NIGER-12			
9239898	E.R. HELGOLAND	Liberia	E R Schiffahrt		2002 / 08	SSW Fhr- und Spezialschiffbau GmbH, Germany	2003	SUL	7RTA72	21.560	22,2	211,90	29,80	11,40	2496	1810	700	33.800	26.400		SAFMARINE ZAMBESI-12								
9238806	E.R. KINGSTON	Liberia	E R Schiffahrt	CMA-CGM	2003 / 11	Samsung Shipbuilding & Heavy industries Co. Ltd, South Korea	1398	B&W;	8K90MCC	36.529	24,5	264,00	32,20	12,60	4250	2805	400	50.900	39.941	None	CMA CGM KINGSTON-11								
9222467	E.R. LBECK	Liberia	E R Schiffahrt		2000 / 12	Volkswerft Stralsund GmbH, Germany	426	B&W;	6L70MC	17200	21,0	207,40	29,80	11,40	2474	1890	320	33.709	25.630	3 x 45	CSCL FUZHOU-09								
9315848	E.R. MALM	Liberia	E R Schiffahrt	PIL	2005 / 08	Hyundai Mipo Dockyards Ltd. Co, South Korea	0370	B&W;	7K80MC-C	25.279	24,0	221,20	30,00	12,00	2824	2030	586	39.241	27.779	None	KOTA PERMAI-11								
9314985	E.R. MARTINIQUE	Liberia	E R Schiffahrt	CMA-CGM	2007 / 01	Hyundai Mipo Dockyards Ltd. Co, South Korea	0426	B&W;	7K80MC-C	25.279	24,0	221,20	30,00	12,00	2824	2030	586	39.241	27.779	None	CMA CGM ANEMONE-09	ANEMONE	CMA CGM ANEMONE	ANL BURILLA-12					
9238789	E.R. NEW YORK	Liberia	E R Schiffahrt	CMA-CGM	2003 / 06	Samsung Shipbuilding & Heavy industries Co. Ltd, South Korea	1396	B&W;	8K90MCC	36.529	24,5	264,00	32,20	12,60	4250	2805	400	50.900	39.941	None	CMA CGM NEW YORK-03	ANL PACIFIC-04	CMA CGM NILGAI-11						
9152868	PAN NOBILITY	Liberia	E R Schiffahrt		1998 / 05	Samho Heavy Industries Co. Ltd., South Korea	0228	B&W;	8K80MC	27243	22,0	201,50	32,20	12,20	2825	2025	214	35.798	30.280	None	HYUNDAI NOBILITY-98	NILE-02	CSCL NILE-03	CMA CGM MARMARA-07					
9211169	E.R. PUSAN	Liberia	E R Schiffahrt	MSC	2000 / 05	Samsung Shipbuilding & Heavy industries Co. Ltd, South Korea	1300	B&W;	12K90MC	54.882	26,2	277,40	40,00	14,00	5762	4185	656	67.660	66.289	None	OOCL LOS ANGELES-09								
9412490	E.R. RIGA	Liberia	E R Schiffahrt		2009 / 09	Fujian Mawei Shipyard, China	431-13	SUL	8L46 MCR	9.240	19,0	164,50	21,40	7,30	889	610		12.400	8.250	None									
9448669	LEGUAN	Germany	Komrowski E	KMTC	2010 / 10	Nanjing Wujiazui Shipbuilding	WJZ022	SUL	6RT-flex50B	9.960	19,0	158,00	23,50	8,60	1085	730	250	14.500	12.514	None									
9160437	E.R. SANTAGIO	Liberia	E R Schiffahrt		1998 / 09	China Shipbuilding Corp. Kaohsiung Shipyard, Taiwan	669	B&W;	7S70MD	19.667	20,5	195,50	30,20	11,00	2230	1744	300	30.730	25.900	3 x 45	CSAV NINGBO-09	E.R. SANTAGIO-09	SAFMARINE NYANGA-23						
9194866	E.R. STRALSUND	Liberia	Rickmers & Cie		1999 / 09	Volkswerft Stralsund GmbH, Germany	424	B&W;	6L70MC	17200	21,0	207,40	29,80	11,40	2474	1890	320	33.650	25.361	3 x 45	MAERSK MENDOZA-02	INDAMEX TUTICORIN-04	MAERSK NAPIER-09						
9231262	E.R. SWEDEN	Singapore	E R Schiffahrt	APL	2002 / 08	Samsung Shipbuilding & Heavy industries Co. Ltd, South Korea	1375	B&W;	12K90MC	54.900	26,2	277,40	40,00	14,00	5762	4180	656	67.644	66.300	None	APL SWEDEN-12								
